Hour,PULocationID,Dayofweek,Demanda
5,90,2,1.13
5,90,3,1.47
5,90,4,1.21
5,90,5,1.62
5,90,6,2.18
5,107,0,2.0
5,107,1,1.94
5,107,2,2.09
5,107,3,2.1
5,107,4,2.07
5,107,5,2.13
5,107,6,2.18
5,113,0,0.34
5,113,1,0.46
5,113,2,0.44
5,113,3,0.5
5,113,4,0.41
5,113,5,0.64
5,113,6,0.76
5,132,0,14.58
5,132,1,12.84
5,132,2,13.06
5,132,3,13.28
5,132,4,11.56
5,132,5,9.47
5,132,6,10.58
5,137,0,1.2
5,137,1,0.96
5,137,2,0.96
5,137,3,1.2
5,137,4,1.04
5,137,5,0.93
5,137,6,1.22
5,138,0,0.36
5,138,1,0.21
5,138,2,0.14
5,138,3,0.2
5,138,4,0.16
5,138,5,0.17
5,138,6,0.19
5,141,0,2.05
5,141,1,2.34
5,141,2,2.67
5,141,3,2.74
5,141,4,2.26
5,141,5,1.32
5,141,6,1.45
5,142,0,1.83
5,142,1,1.75
5,142,2,1.56
5,142,3,1.75
5,142,4,1.48
5,142,5,1.34
5,142,6,1.78
5,143,0,0.88
5,143,1,0.93
5,143,2,1.07
5,143,3,1.12
5,143,4,0.89
5,143,5,0.49
5,143,6,0.32
5,144,0,0.07
5,144,1,0.08
5,144,2,0.12
5,144,3,0.16
5,144,4,0.19
5,144,5,0.5
5,144,6,0.97
5,151,0,0.6
5,151,1,0.94
5,151,2,0.85
5,151,3,0.94
5,151,4,0.61
5,151,5,0.32
5,151,6,0.26
5,161,0,2.83
5,161,1,2.57
5,161,2,2.87
5,161,3,3.43
5,161,4,3.3
5,161,5,2.02
5,161,6,2.68
5,162,0,4.46
5,162,1,5.01
5,162,2,5.29
5,162,3,4.63
5,162,4,4.38
5,162,5,1.83
5,162,6,2.54
5,163,0,2.0
5,163,1,1.63
5,163,2,2.09
5,163,3,2.32
5,163,4,2.46
5,163,5,1.9
5,163,6,2.71
5,164,0,1.62
5,164,1,1.3
5,164,2,1.6
5,164,3,1.56
5,164,4,1.82
5,164,5,2.01
5,164,6,3.21
5,170,0,2.26
5,170,1,2.15
5,170,2,2.46
5,170,3,2.51
5,170,4,2.39
5,170,5,1.93
5,170,6,2.02
5,211,0,0.15
5,211,1,0.08
5,211,2,0.08
5,211,3,0.05
5,211,4,0.14
5,211,5,0.21
5,211,6,0.19
5,224,0,0.1
5,224,1,0.09
5,224,2,0.11
5,224,3,0.14
5,224,4,0.14
5,224,5,0.12
5,224,6,0.12
5,229,0,1.48
5,229,1,1.46
5,229,2,1.75
5,229,3,1.92
5,229,4,1.63
5,229,5,1.39
5,229,6,1.2
5,233,0,1.22
5,233,1,1.56
5,233,2,1.55
5,233,3,1.77
5,233,4,1.72
5,233,5,1.02
5,233,6,1.38
5,234,0,0.89
5,234,1,0.66
5,234,2,0.67
5,234,3,0.83
5,234,4,1.0
5,234,5,1.01
5,234,6,1.35
5,236,0,1.98
5,236,1,2.75
5,236,2,2.35
5,236,3,2.11
5,236,4,2.0
5,236,5,0.77
5,236,6,0.91
5,237,0,1.7
5,237,1,2.19
5,237,2,2.36
5,237,3,2.18
5,237,4,1.55
5,237,5,1.15
5,237,6,0.88
5,239,0,2.36
5,239,1,2.63
5,239,2,2.38
5,239,3,2.78
5,239,4,2.6
5,239,5,0.99
5,239,6,1.32
5,249,0,1.06
5,249,1,0.82
5,249,2,1.03
5,249,3,1.12
5,249,4,1.06
5,249,5,1.33
5,249,6,1.98
5,263,0,2.55
5,263,1,3.22
5,263,2,2.86
5,263,3,2.97
5,263,4,2.82
5,263,5,1.46
5,263,6,1.86
6,43,0,1.87
6,43,1,2.33
6,43,2,2.26
6,43,3,2.18
6,43,4,1.57
6,43,5,0.91
6,43,6,0.78
6,48,0,13.28
6,48,1,14.75
6,48,2,14.08
6,48,3,14.01
6,48,4,11.92
6,48,5,5.44
6,48,6,4.98
6,68,0,4.23
6,68,1,4.67
6,68,2,4.91
6,68,3,5.25
6,68,4,3.98
6,68,5,2.97
6,68,6,2.68
6,79,0,3.22
6,79,1,3.41
6,79,2,3.74
6,79,3,4.26
6,79,4,3.81
6,79,5,2.29
6,79,6,2.63
6,90,0,2.94
6,90,1,3.29
6,90,2,2.96
6,90,3,3.27
6,90,4,2.66
6,90,5,1.81
6,90,6,1.67
6,107,0,5.9
6,107,1,6.89
6,107,2,6.94
6,107,3,6.87
6,107,4,5.89
6,107,5,3.34
6,107,6,3.32
6,113,0,2.02
6,113,1,2.37
6,113,2,1.85
6,113,3,1.99
6,113,4,1.83
6,113,5,0.69
6,113,6,0.52
6,132,0,36.95
6,132,1,33.65
6,132,2,28.83
6,132,3,31.78
6,132,4,29.44
6,132,5,23.91
6,132,6,23.9
6,137,0,2.66
6,137,1,2.98
6,137,2,3.64
6,137,3,3.01
6,137,4,2.83
6,137,5,1.61
6,137,6,1.37
6,138,0,1.06
6,138,1,0.85
6,138,2,0.79
6,138,3,0.66
6,138,4,0.85
6,138,5,0.45
6,138,6,0.49
6,141,0,7.66
6,141,1,8.73
6,141,2,9.6
6,141,3,8.88
6,141,4,6.8
6,141,5,3.05
6,141,6,2.48
6,142,0,5.56
6,142,1,6.62
6,142,2,6.24
6,142,3,6.36
6,142,4,4.81
6,142,5,2.72
6,142,6,3.07
6,143,0,3.1
6,143,1,3.94
6,143,2,3.46
6,143,3,3.7
6,143,4,2.6
6,143,5,1.04
6,143,6,1.1
6,144,0,0.25
6,144,1,0.28
6,144,2,0.24
6,144,3,0.23
6,144,4,0.28
6,144,5,0.26
6,144,6,0.35
6,151,0,2.7
6,151,1,3.75
6,151,2,3.42
6,151,3,3.29
6,151,4,2.48
6,151,5,1.14
6,151,6,1.25
6,161,0,7.37
6,161,1,7.89
6,161,2,8.34
6,161,3,8.2
6,161,4,6.74
6,161,5,3.09
6,161,6,3.9
6,162,0,12.17
6,162,1,13.44
6,162,2,12.53
6,162,3,12.56
6,162,4,10.22
6,162,5,5.19
6,162,6,4.66
6,163,0,3.93
6,163,1,3.41
6,163,2,3.93
6,163,3,4.47
6,163,4,3.75
6,163,5,2.75
6,163,6,3.38
6,164,0,3.53
