Pollutant,Measure Info,Geo Place Name,Year,Data Value
Nitrogen dioxide (NO2),ppb,East New York,2021,16.12
Nitrogen dioxide (NO2),ppb,Williamsburg - Bushwick,2021,19.04
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant - Crown Heights,2021,17.12
Nitrogen dioxide (NO2),ppb,Borough Park,2021,16.74
Nitrogen dioxide (NO2),ppb,Upper West Side,2021,19.17
Nitrogen dioxide (NO2),ppb,Parkchester and Soundview (CD9),2021,16.64
Fine particles (PM 2.5),mcg/m3,Upper West Side,2021,6.8
Fine particles (PM 2.5),mcg/m3,Downtown - Heights - Slope,2021,7.1
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant - Crown Heights,2021,6.61
Fine particles (PM 2.5),mcg/m3,Pelham - Throgs Neck,2021,6.6
Fine particles (PM 2.5),mcg/m3,Fordham - Bronx Pk,2021,6.58
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,2021,7.25
Fine particles (PM 2.5),mcg/m3,Bensonhurst - Bay Ridge,2021,6.43
Nitrogen dioxide (NO2),ppb,Crotona -Tremont,2021,17.64
Fine particles (PM 2.5),mcg/m3,Canarsie - Flatlands,2021,6.27
Nitrogen dioxide (NO2),ppb,New York City,2021,15.68
Nitrogen dioxide (NO2),ppb,Kingsbridge - Riverdale,2021,14.77
Nitrogen dioxide (NO2),ppb,Northeast Bronx,2021,15.98
Fine particles (PM 2.5),mcg/m3,New York City,2021,6.54
Nitrogen dioxide (NO2),ppb,Manhattan,2021,19.97
Nitrogen dioxide (NO2),ppb,Lower East Side and Chinatown (CD3),2021,19.29
Nitrogen dioxide (NO2),ppb,Hunts Point and Longwood (CD2),2021,19.31
Nitrogen dioxide (NO2),ppb,Greenwich Village and Soho (CD2),2021,21.21
Nitrogen dioxide (NO2),ppb,Bronx,2021,16.54
Nitrogen dioxide (NO2),ppb,Brooklyn,2021,16.68
Nitrogen dioxide (NO2),ppb,Kingsbridge Heights and Bedford (CD7),2021,16.86
Fine particles (PM 2.5),mcg/m3,Greenwich Village and Soho (CD2),2021,8.47
Fine particles (PM 2.5),mcg/m3,Hunts Point and Longwood (CD2),2021,7.29
Nitrogen dioxide (NO2),ppb,Queens,2021,15.46
